Gammelt Varenummer;Varenavn;Farve;Stregkode;Nyt Varenummer
005-AB560-B280-AF12;Seat Cushion for Palissade-Chair and Armchair CMHR;Anthracite textile FR;5710441350552;AB560-B280-AH72
005-AB560-B280-AK78;Seat Cushion for Palissade-Chair and Armchair CMHR;Iron red textile FR;5710441350590;AB560-B280-AI34
005-AB560-B282-AB70;Seat Cushion for Palissade-Dining Armchair CMHR;Olive textile FR;5710441350569;AB560-B282-AH70
005-AB560-B282-AB30;Seat Cushion for Palissade-Dining Armchair CMHR;Sky grey textile FR;5710441350583;AB560-B282-AH71
005-AB560-B282-AF12;Seat Cushion for Palissade-Dining Armchair CMHR;Anthracite textile FR;5710441350408;AB560-B282-AH72
005-AB560-B282-AK78;Seat Cushion for Palissade-Dining Armchair CMHR;Iron red textile FR;5710441350439;AB560-B282-AI34
005-AB560-B284-AB70;Seat Cushion for Palissade-Dining Bench CMHR;Olive textile FR;5710441350415;AB560-B284-AH70
005-AB560-B284-AB30;Seat Cushion for Palissade-Dining Bench CMHR;Sky grey textile FR;5710441350422;AB560-B284-AH71
005-AB560-B284-AF12;Seat Cushion for Palissade-Dining Bench CMHR;Anthracite textile FR;5710441350446;AB560-B284-AH72
005-AB560-B284-AK78;Seat Cushion for Palissade-Dining Bench CMHR;Iron red textile FR;5710441350477;AB560-B284-AI34
005-AB560-B286-AB70;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;Olive textile FR;5710441350453;AB560-B286-AH70
005-AB560-B286-AB30;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;Sky grey textile FR;5710441350460;AB560-B286-AH71
005-AB560-B286-AF12;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;Anthracite textile FR;5710441350484;AB560-B286-AH72
005-AB560-B286-AK78;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;Iron red textile FR;5710441350491;AB560-B286-AI34
005-AB560-B288-AB70;Seat Cushion for Palissade-Lounge Sofa CMHR;Olive textile FR;5710441350507;AB560-B288-AH70
005-AB560-B288-AB30;Seat Cushion for Palissade-Lounge Sofa CMHR;Sky grey textile FR;5710441350514;AB560-B288-AH71
005-AB560-B288-AF12;Seat Cushion for Palissade-Lounge Sofa CMHR;Anthracite textile FR;5710441350538;AB560-B288-AH72
005-AB560-B288-AK78;Seat Cushion for Palissade-Lounge Sofa CMHR;Iron red textile FR;5710441350576;AB560-B288-AI34
005-AB561-B290-AB70;Headrest Cushion for Palissade-Chaise Longue CMHR;Olive textile FR;5710441350613;AB561-B290-AH70
005-AB561-B290-AB30;Headrest Cushion for Palissade-Chaise Longue CMHR;Sky grey textile FR;5710441350620;AB561-B290-AH71
005-AB561-B290-AF12;Headrest Cushion for Palissade-Chaise Longue CMHR;Anthracite textile FR;5710441350637;AB561-B290-AH72
005-AB561-B290-AK78;Headrest Cushion for Palissade-Chaise Longue CMHR;Iron red textile FR;5710441350606;AB561-B290-AI34
005-AB562-B282-AB70;Quilted Cushion for Palissade-Dining Armchair CMHR;Olive textile FR;5710441350736;AB562-B282-AH70
005-AB562-B282-AB30;Quilted Cushion for Palissade-Dining Armchair CMHR;Sky grey textile FR;5710441350750;AB562-B282-AH71
005-AB562-B282-AF12;Quilted Cushion for Palissade-Dining Armchair CMHR;Anthracite textile FR;5710441350644;AB562-B282-AH72
005-AB562-B282-AK78;Quilted Cushion for Palissade-Dining Armchair CMHR;Iron red textile FR;5710441350675;AB562-B282-AI34
005-AB562-B284-AB70;Quilted Cushion for Palissade-Dining Bench CMHR;Olive textile FR;5710441350651;AB562-B284-AH70
005-AB562-B284-AB30;Quilted Cushion for Palissade-Dining Bench CMHR;Sky grey textile FR;5710441350668;AB562-B284-AH71
005-AB562-B284-AF12;Quilted Cushion for Palissade-Dining Bench CMHR;Anthracite textile FR;5710441350682;AB562-B284-AH72
005-AB562-B284-AK78;Quilted Cushion for Palissade-Dining Bench CMHR;Iron red textile FR;5710441350699;AB562-B284-AI34
005-AB562-B288-AB70;Quilted Cushion for Palissade-Lounge Sofa CMHR;Olive textile FR;5710441350705;AB562-B288-AH70
005-AB562-B288-AB30;Quilted Cushion for Palissade-Lounge Sofa CMHR;Sky grey textile FR;5710441350712;AB562-B288-AH71
005-AB562-B288-AF12;Quilted Cushion for Palissade-Lounge Sofa CMHR;Anthracite textile FR;5710441350729;AB562-B288-AH72
005-AB562-B288-AK78;Quilted Cushion for Palissade-Lounge Sofa CMHR;Iron red textile FR;5710441350743;AB562-B288-AI34
005-AB562-B290-AB70;Quilted Cushion for Palissade-Chaise Longue CMHR;Olive textile FR;5710441350859;AB562-B290-AH70
005-AB562-B290-AB30;Quilted Cushion for Palissade-Chaise Longue CMHR;Sky grey textile FR;5710441350866;AB562-B290-AH71
005-AB562-B290-AF12;Quilted Cushion for Palissade-Chaise Longue CMHR;Anthracite textile FR;5710441350873;AB562-B290-AH72
005-AB562-B290-AK78;Quilted Cushion for Palissade-Chaise Longue CMHR;Iron red textile FR;5710441350842;AB562-B290-AI34
005-AB562-B292-AB70;Quilted Cushion for Palissade-Lounge Chair High CMHR;Olive textile FR;5710441350781;AB562-B292-AH70
005-AB562-B292-AB30;Quilted Cushion for Palissade-Lounge Chair High CMHR;Sky grey textile FR;5710441350804;AB562-B292-AH71
005-AB562-B292-AF12;Quilted Cushion for Palissade-Lounge Chair High CMHR;Anthracite textile FR;5710441350828;AB562-B292-AH72
005-AB562-B292-AK78;Quilted Cushion for Palissade-Lounge Chair High CMHR;Iron red textile FR;5710441350767;AB562-B292-AI34
005-AB562-B294-AB70;Quilted Cushion for Palissade-Lounge Chair Low CMHR;Olive textile FR;5710441350798;AB562-B294-AH70
005-AB562-B294-AB30;Quilted Cushion for Palissade-Lounge Chair Low CMHR;Sky grey textile FR;5710441350811;AB562-B294-AH71
005-AB562-B294-AF12;Quilted Cushion for Palissade-Lounge Chair Low CMHR;Anthracite textile FR;5710441350835;AB562-B294-AH72
005-AB562-B294-AK78;Quilted Cushion for Palissade-Lounge Chair Low CMHR;Iron red textile FR;5710441350774;AB562-B294-AI34
005-AE014-B280-AH70;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;Olive textile Interliner;5710441350965;AE014-B280-AO42
005-AE014-B280-AH71;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;Sky grey textile Interliner;5710441351016;AE014-B280-AO43
005-AE014-B280-AH72;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;Anthracite textile Interliner;5710441351061;AE014-B280-AO44
005-AE014-B280-AI34;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;Iron red textile Interliner;5710441351115;AE014-B280-AO45
005-AE014-B282-AH70;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;Olive textile Interliner;5710441350989;AE014-B282-AO42
005-AE014-B282-AH71;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;Sky grey textile Interliner;5710441351030;AE014-B282-AO43
005-AE014-B282-AH72;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;Anthracite textile Interliner;5710441351085;AE014-B282-AO44
005-AE014-B282-AI34;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;Iron red textile Interliner;5710441351139;AE014-B282-AO45
005-AE014-B284-AH70;Soft Quilted Cushion for Palissade-Dining Bench CMHR;Olive textile Interliner;5710441350996;AE014-B284-AO42
005-AE014-B284-AH71;Soft Quilted Cushion for Palissade-Dining Bench CMHR;Sky grey textile Interliner;5710441351047;AE014-B284-AO43
005-AE014-B284-AH72;Soft Quilted Cushion for Palissade-Dining Bench CMHR;Anthracite textile Interliner;5710441351092;AE014-B284-AO44
005-AE014-B284-AI34;Soft Quilted Cushion for Palissade-Dining Bench CMHR;Iron red textile Interliner;5710441351146;AE014-B284-AO45
005-AE014-B288-AH70;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;Olive textile Interliner;5710441351009;AE014-B288-AO42
005-AE014-B288-AH71;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;Sky grey textile Interliner;5710441351054;AE014-B288-AO43
005-AE014-B288-AH72;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;Anthracite textile Interliner;5710441351108;AE014-B288-AO44
005-AE014-B288-AI34;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;Iron red textile Interliner;5710441351153;AE014-B288-AO45
005-AE014-B290-AH70;Soft Quilted Cushion for Palissade-Chaise Longue CMHR;Olive textile Interliner;5710441350972;AE014-B290-AO42
005-AE014-B290-AH71;Soft Quilted Cushion for Palissade-Chaise Longue CMHR;Sky grey textile Interliner;5710441351023;AE014-B290-AO43
005-AE014-B290-AH72;Soft Quilted Cushion for Palissade-Chaise Longue CMHR;Anthracite textile Interliner;5710441351078;AE014-B290-AO44
005-AE014-B290-AI34;Soft Quilted Cushion for Palissade-Chaise Longue CMHR;Iron red textile Interliner;5710441351122;AE014-B290-AO45
005-AE014-B292-AH70;Soft Quilted Cushion for Palissade-Lounge Chair High CMHR;Olive textile Interliner;5710441350880;AE014-B292-AO42
005-AE014-B292-AH71;Soft Quilted Cushion for Palissade-Lounge Chair High CMHR;Sky grey textile Interliner;5710441350903;AE014-B292-AO43
005-AE014-B292-AH72;Soft Quilted Cushion for Palissade-Lounge Chair High CMHR;Anthracite textile Interliner;5710441350927;AE014-B292-AO44
005-AE014-B292-AI34;Soft Quilted Cushion for Palissade-Lounge Chair High CMHR;Iron red textile Interliner;5710441350941;AE014-B292-AO45
005-AE014-B294-AH70;Soft Quilted Cushion for Palissade-Lounge Chair Low CMHR;Olive textile Interliner;5710441350897;AE014-B294-AO42
005-AE014-B294-AH71;Soft Quilted Cushion for Palissade-Lounge Chair Low CMHR;Sky grey textile Interliner;5710441350910;AE014-B294-AO43
005-AE014-B294-AH72;Soft Quilted Cushion for Palissade-Lounge Chair Low CMHR;Anthracite textile Interliner;5710441350934;AE014-B294-AO44
005-AE014-B294-AI34;Soft Quilted Cushion for Palissade-Lounge Chair Low CMHR;Iron red textile Interliner;5710441350958;AE014-B294-AO45
